declaracion.situacionPatrimonial.datosGenerales.curp,declaracion.situacionPatrimonial.ingresos.totalIngresosAnualesNetos.valor
ELGG810908MDFZNR02,1056660
ELGG810908MDFZNR02,1114344
ELGG810908MDFZNR02,
KRXL750918HVZRCC03,287390
KRXL750918HVZRCC03,
KRXL750918HVZRCC03,1136052
KRXL750918HVZRCC03,1237704
KRXL750918HVZRCC03,1097748
KRXL750918HVZRCC03,1145016
QUMC711103HPUNRL02,
KRXL750918HVZRCC03,1005156
QUMC711103HPUNRL02,126855
KRXL750918HVZRCC03,
QUMC711103HPUNRL02,608904
QUMC711103HPUNRL02,608904
QUMC711103HPUNRL02,608904
CACR731110HAGZRB03,
QUMC711103HPUNRL02,608904
QUMC711103HPUNRL02,
QUMC711103HPUNRL02,608904
CACR731110HAGZRB03,223825
CACR731110HAGZRB03,1166904
CACR731110HAGZRB03,1214484
CACR731110HAGZRB03,1178016
RAPL810713MVZNRL04,105560
CACR731110HAGZRB03,1047696
RAPL810713MVZNRL04,
RAPL810713MVZNRL04,506688
CACR731110HAGZRB03,1037652
RAPL810713MVZNRL04,506688
RAPL810713MVZNRL04,506688
RAPL810713MVZNRL04,506688
CACR731110HAGZRB03,
RAPL810713MVZNRL04,506688
RAPL810713MVZNRL04,
LEPD850016HDFVLG01,105560
LEPD850016HDFVLG01,506688
LEPD850016HDFVLG01,506688
LEPD850016HDFVLG01,
LEPD850016HDFVLG01,506688
MOBA711011HDFNLR04,
LEPD850016HDFVLG01,506688
MOBA711011HDFNLR04,506688
LEPD850016HDFVLG01,
MOBA711011HDFNLR04,105560
LEPD850016HDFVLG01,506688
MOBA711011HDFNLR04,506688
MOBA711011HDFNLR04,506688
MOBA711011HDFNLR04,
MOBA711011HDFNLR04,506688
MOBA711011HDFNLR04,506688
AGCM730518HDFSRR02,298180
AGCM730518HDFSRR02,
AGCM730518HDFSRR02,1184424
AGCM730518HDFSRR02,1106520
AGCM730518HDFSRR02,1200420
AGCM730518HDFSRR02,1185456
AGCM730518HDFSRR02,1116864
AGCM730518HDFSRR02,
LOMF881011HPUYNL02,4744944
LOMF881011HPUYNL02,
LOMF881011HPUYNL02,1699315
LOMF881011HPUYNL02,4906728
LOMF881011HPUYNL02,4142532
ABBA870314MSNRRN07,315750
LOMF881011HPUYNL02,4731420
LOMF881011HPUYNL02,
ABBA870314MSNRRN07,
LOMF881011HPUYNL02,5268228
ABBA870314MSNRRN07,1314072
ABBA870314MSNRRN07,1106616
ABBA870314MSNRRN07,1179192
ABBA870314MSNRRN07,1177404
ABBA870314MSNRRN07,1302660
ABBA870314MSNRRN07,
MEVD701122HVZDRL05,2394375
MEVD701122HVZDRL05,6385932
MEVD701122HVZDRL05,6942636
MEVD701122HVZDRL05,6489804
MEVD701122HVZDRL05,5687784
ESFP750101MAGPLB08,600000
ESFP750101MAGPLB08,
ESFP750101MAGPLB08,125000
MEVD701122HVZDRL05,
ESFP750101MAGPLB08,600000
MEVD701122HVZDRL05,6436896
MEVD701122HVZDRL05,
ESFP750101MAGPLB08,600000
ROSA771127HPUMLX07,366710
ESFP750101MAGPLB08,600000
ESFP750101MAGPLB08,
ESFP750101MAGPLB08,600000
ROSA771127HPUMLX07,1649400
ROSA771127HPUMLX07,
ROSA771127HPUMLX07,1725420
ROSA771127HPUMLX07,1573644
ROSA771127HPUMLX07,1620984
ROSA771127HPUMLX07,1561476
AYBN890625HVZLRC05,600000
AYBN890625HVZLRC05,600000
AYBN890625HVZLRC05,
AYBN890625HVZLRC05,125000
ROSA771127HPUMLX07,
AYBN890625HVZLRC05,600000
AYBN890625HVZLRC05,600000
KIMT890421HSNNND01,371645
AYBN890625HVZLRC05,600000
KIMT890421HSNNND01,
AYBN890625HVZLRC05,
KIMT890421HSNNND01,1604976
KIMT890421HSNNND01,1632708
KIMT890421HSNNND01,1740420
KIMT890421HSNNND01,1672416
SAME750406HDFLNN03,
KIMT890421HSNNND01,1676772
KIMT890421HSNNND01,
SAME750406HDFLNN03,1673244
SAME750406HDFLNN03,1726344
SAME750406HDFLNN03,400580
SAME750406HDFLNN03,1707708
SAME750406HDFLNN03,1647888
HEAR740123MPURYS04,
SAME750406HDFLNN03,1657896
HEAR740123MPURYS04,160000
HEAR740123MPURYS04,768000
HEAR740123MPURYS04,768000
HEAR740123MPURYS04,768000
SAME750406HDFLNN03,
HEAR740123MPURYS04,768000
HEAR740123MPURYS04,
HEAR740123MPURYS04,768000
RUCG840324HVZLRL09,
RUCG840324HVZLRL09,125000
RUCG840324HVZLRL09,600000
RUCG840324HVZLRL09,600000
RUCG840324HVZLRL09,600000
RUCG840324HVZLRL09,600000
RUCG840324HVZLRL09,600000
VIML800402MVZLCS02,
VIML800402MVZLCS02,1505250
VIML800402MVZLCS02,4426296
RUCG840324HVZLRL09,
VIML800402MVZLCS02,4646760
VIML800402MVZLCS02,5010348
VIML800402MVZLCS02,4582536
GIBB840714MVZLRN04,160000
VIML800402MVZLCS02,4998888
VIML800402MVZLCS02,
GIBB840714MVZLRN04,768000
GIBB840714MVZLRN04,768000
GIBB840714MVZLRN04,768000
GIBB840714MVZLRN04,
GIBB840714MVZLRN04,768000
GIBB840714MVZLRN04,768000
GIBB840714MVZLRN04,
GAAP830802HSNRYL07,1947255
GAAP830802HSNRYL07,6360144
GAAP830802HSNRYL07,5225532
GAAP830802HSNRYL07,
GAAP830802HSNRYL07,6605424
NEOP880218HAGGTB07,
GAAP830802HSNRYL07,6005448
NEOP880218HAGGTB07,1602432
GAAP830802HSNRYL07,7186032
NEOP880218HAGGTB07,388280
NEOP880218HAGGTB07,1794468
NEOP880218HAGGTB07,1538016
NEOP880218HAGGTB07,1672200
GAAP830802HSNRYL07,
NEOP880218HAGGTB07,1739688
NEOP880218HAGGTB07,
ZÚBJ821125HDFÑDN01,
ZÚBJ821125HDFÑDN01,2040690
ZÚBJ821125HDFÑDN01,6736296
ZÚBJ821125HDFÑDN01,5639160
VEMJ860621MPURGL05,126855
VEMJ860621MPURGL05,
ZÚBJ821125HDFÑDN01,5753040
ZÚBJ821125HDFÑDN01,5529228
ZÚBJ821125HDFÑDN01,6268968
ZÚBJ821125HDFÑDN01,
VEMJ860621MPURGL05,608904
VEMJ860621MPURGL05,608904
VEMJ860621MPURGL05,608904
VEMJ860621MPURGL05,608904
VEMJ860621MPURGL05,608904
VEMJ860621MPURGL05,
LÓGI770722HAGPRN02,
LÓGI770722HAGPRN02,1746315
LÓGI770722HAGPRN02,5683884
LÓGI770722HAGPRN02,5641728
LÓGI770722HAGPRN02,4988760
LÓGI770722HAGPRN02,4986276
LÓGI770722HAGPRN02,5929788
LÓGI770722HAGPRN02,
CASÓ730102HAGSNC08,
CASÓ730102HAGSNC08,277675
CASÓ730102HAGSNC08,1162716
CASÓ730102HAGSNC08,1201044
VEQG870101HSNLNB02,
CASÓ730102HAGSNC08,1152828
CASÓ730102HAGSNC08,1260900
CASÓ730102HAGSNC08,
CASÓ730102HAGSNC08,1127064
VEQG870101HSNLNB02,1013064
VEQG870101HSNLNB02,1155288
VEQG870101HSNLNB02,1209636
VEQG870101HSNLNB02,276730
VEQG870101HSNLNB02,1150944
VEQG870101HSNLNB02,1074384
ZACE850003HSNVVR06,1699692
ZACE850003HSNVVR06,
ZACE850003HSNVVR06,373850
ZACE850003HSNVVR06,1560300
VEQG870101HSNLNB02,
ZACE850003HSNVVR06,1711752
ZACE850003HSNVVR06,1644132
PALO800115HDFZYV04,
ZACE850003HSNVVR06,1706760
PALO800115HDFZYV04,768000
ZACE850003HSNVVR06,
PALO800115HDFZYV04,160000
PALO800115HDFZYV04,768000
PALO800115HDFZYV04,768000
PALO800115HDFZYV04,
PALO800115HDFZYV04,768000
PALO800115HDFZYV04,768000
CAAB860805MPUSVN02,
CAAB860805MPUSVN02,126855
CAAB860805MPUSVN02,608904
CAAB860805MPUSVN02,608904
CAAB860805MPUSVN02,608904
CAAB860805MPUSVN02,608904
CAAB860805MPUSVN02,608904
LERR780607MAGMSB09,
LERR780607MAGMSB09,768000
CAAB860805MPUSVN02,
LERR780607MAGMSB09,768000
LERR780607MAGMSB09,768000
LERR780607MAGMSB09,768000
LERR780607MAGMSB09,768000
KAÁA860206HAGDLD07,
LERR780607MAGMSB09,
KAÁA860206HAGDLD07,348640
KAÁA860206HAGDLD07,1560720
LERR780607MAGMSB09,160000
KAÁA860206HAGDLD07,1728864
KAÁA860206HAGDLD07,1702920
KAÁA860206HAGDLD07,1551648
KAÁA860206HAGDLD07,1570068
VACG860504MAGLSL03,
VACG860504MAGLSL03,506688
VACG860504MAGLSL03,506688
KAÁA860206HAGDLD07,
VACG860504MAGLSL03,105560
VACG860504MAGLSL03,506688
VACG860504MAGLSL03,506688
ADKP840010HDFRRT05,347475
ADKP840010HDFRRT05,
VACG860504MAGLSL03,
VACG860504MAGLSL03,506688
ADKP840010HDFRRT05,1565400
ADKP840010HDFRRT05,1626756
ADKP840010HDFRRT05,1708800
ADKP840010HDFRRT05,1605180
ADKP840010HDFRRT05,1552368
YÁVC700106HVZÑLL01,600000
YÁVC700106HVZÑLL01,600000
YÁVC700106HVZÑLL01,125000
YÁVC700106HVZÑLL01,600000
ADKP840010HDFRRT05,
YÁVC700106HVZÑLL01,600000
SAIF750202MSNNLR02,
YÁVC700106HVZÑLL01,
YÁVC700106HVZÑLL01,600000
SAIF750202MSNNLR02,600000
SAIF750202MSNNLR02,600000
SAIF750202MSNNLR02,600000
SAIF750202MSNNLR02,125000
YÁVC700106HVZÑLL01,
SAIF750202MSNNLR02,600000
SAIF750202MSNNLR02,600000
SAIF750202MSNNLR02,
ESCA840103MPUCNC06,1457405
ESCA840103MPUCNC06,
ESCA840103MPUCNC06,6649644
ESCA840103MPUCNC06,5455908
IRSB850012HVZZNL08,
ESCA840103MPUCNC06,6089664
ESCA840103MPUCNC06,6455496
IRSB850012HVZZNL08,338520
ESCA840103MPUCNC06,5867796
IRSB850012HVZZNL08,1701336
IRSB850012HVZZNL08,1778832
IRSB850012HVZZNL08,1510920
IRSB850012HVZZNL08,1526184
SAVG750219HSNLRD09,
IRSB850012HVZZNL08,1611996
SAVG750219HSNLRD09,126855
SAVG750219HSNLRD09,608904
IRSB850012HVZZNL08,
SAVG750219HSNLRD09,608904
SAVG750219HSNLRD09,608904
SAVG750219HSNLRD09,608904
ESCA840103MPUCNC06,
SAVG750219HSNLRD09,608904
BATC850018HDFRRR05,
SAVG750219HSNLRD09,
BATC850018HDFRRR05,1300365
BATC850018HDFRRR05,4869660
BATC850018HDFRRR05,4750428
BATC850018HDFRRR05,4892712
BEÑJ770221MDFNÑS05,
BATC850018HDFRRR05,4918224
BATC850018HDFRRR05,
BATC850018HDFRRR05,5032008
BEÑJ770221MDFNÑS05,608904
BEÑJ770221MDFNÑS05,126855
BEÑJ770221MDFNÑS05,608904
BEÑJ770221MDFNÑS05,608904
GAEI770106MPULRN02,322845
BEÑJ770221MDFNÑS05,608904
BEÑJ770221MDFNÑS05,
GAEI770106MPULRN02,
BEÑJ770221MDFNÑS05,608904
GAEI770106MPULRN02,1323336
GAEI770106MPULRN02,1308384
GAEI770106MPULRN02,1334112
KAAU860704MDFNÑL07,
GAEI770106MPULRN02,1280196
GAEI770106MPULRN02,1244400
GAEI770106MPULRN02,
KAAU860704MDFNÑL07,1457445
KAAU860704MDFNÑL07,4462692
KAAU860704MDFNÑL07,4825752
KAAU860704MDFNÑL07,5388408
KAAU860704MDFNÑL07,4621692
KAAU860704MDFNÑL07,5519772
YAVC740917HDFMLT06,
KAAU860704MDFNÑL07,
YAVC740917HDFMLT06,1477260
YAVC740917HDFMLT06,4568880
YAVC740917HDFMLT06,4615404
YAVC740917HDFMLT06,5035104
YAVC740917HDFMLT06,4825356
YAVC740917HDFMLT06,5789028
ZAPE720420HPUBTM09,
YAVC740917HDFMLT06,
ZAPE720420HPUBTM09,5161980
ZAPE720420HPUBTM09,4863348
ZAPE720420HPUBTM09,1708985
ZAPE720420HPUBTM09,4974504
ZAPE720420HPUBTM09,4189632
ZAPE720420HPUBTM09,5051340
ZAPE720420HPUBTM09,
NEEG790417MAGVCL08,
NEEG790417MAGVCL08,1591535
NEEG790417MAGVCL08,5071116
NEEG790417MAGVCL08,4750560
NEEG790417MAGVCL08,5856072
NEEG790417MAGVCL08,5876964
GOGE860003HVZLVL03,
NEEG790417MAGVCL08,4846800
GOGE860003HVZLVL03,506688
NEEG790417MAGVCL08,
GOGE860003HVZLVL03,105560
GOGE860003HVZLVL03,506688
GOGE860003HVZLVL03,506688
ARMR750719HSNNYD06,
GOGE860003HVZLVL03,506688
GOGE860003HVZLVL03,506688
ARMR750719HSNNYD06,768000
ARMR750719HSNNYD06,160000
ARMR750719HSNNYD06,768000
GOGE860003HVZLVL03,
ARMR750719HSNNYD06,768000
ARMR750719HSNNYD06,768000
ARMR750719HSNNYD06,768000
ARMR750719HSNNYD06,
DÁLJ820224HDFVMS04,4938324
DÁLJ820224HDFVMS04,4399980
DÁLJ820224HDFVMS04,
DÁLJ820224HDFVMS04,1990275
DÁLJ820224HDFVMS04,5491548
DÁLJ820224HDFVMS04,4773456
BAFG821027MVZLLD09,
DÁLJ820224HDFVMS04,4762356
BAFG821027MVZLLD09,1743445
DÁLJ820224HDFVMS04,
BAFG821027MVZLLD09,5096976
BAFG821027MVZLLD09,4699020
BAFG821027MVZLLD09,5296536
PÁCR820420MSNZLN07,
BAFG821027MVZLLD09,
BAFG821027MVZLLD09,5031468
PÁCR820420MSNZLN07,242425
BAFG821027MVZLLD09,5743380
PÁCR820420MSNZLN07,1277748
PÁCR820420MSNZLN07,1264308
PÁCR820420MSNZLN07,1278360
PÁCR820420MSNZLN07,
PÁCR820420MSNZLN07,1292544
URCM710904MSNBHT04,126855
URCM710904MSNBHT04,
PÁCR820420MSNZLN07,1264392
URCM710904MSNBHT04,608904
URCM710904MSNBHT04,608904
URCM710904MSNBHT04,608904
URCM710904MSNBHT04,608904
URCM710904MSNBHT04,608904
CAPA891015HDFRRN07,
CAPA891015HDFRRN07,600000
CAPA891015HDFRRN07,600000
CAPA891015HDFRRN07,125000
CAPA891015HDFRRN07,600000
URCM710904MSNBHT04,
CAPA891015HDFRRN07,600000
CAPA891015HDFRRN07,600000
TAAC710812HPUFCL02,600000
CAPA891015HDFRRN07,
TAAC710812HPUFCL02,125000
TAAC710812HPUFCL02,
TAAC710812HPUFCL02,600000
TAAC710812HPUFCL02,600000
TAAC710812HPUFCL02,600000
TAAC710812HPUFCL02,600000
TAAC710812HPUFCL02,
NIYG820011HSNTNR04,
NIYG820011HSNTNR04,6530064
NIYG820011HSNTNR04,1732815
NIYG820011HSNTNR04,6555612
NIYG820011HSNTNR04,6646020
NIYG820011HSNTNR04,6901656
NIYG820011HSNTNR04,6810120
DEMG841008MVZLNL04,1957350
NIYG820011HSNTNR04,
DEMG841008MVZLNL04,
DEMG841008MVZLNL04,5337036
DEMG841008MVZLNL04,6557760
DEMG841008MVZLNL04,6176640
ROGJ770007HSNSDS07,
ROGJ770007HSNSDS07,125000
DEMG841008MVZLNL04,6852912
ROGJ770007HSNSDS07,600000
DEMG841008MVZLNL04,
DEMG841008MVZLNL04,5872584
ROGJ770007HSNSDS07,600000
ROGJ770007HSNSDS07,600000
ROGJ770007HSNSDS07,
ROGJ770007HSNSDS07,600000
ROGJ770007HSNSDS07,600000
SASM870317HPURLY04,290245
SASM870317HPURLY04,
SASM870317HPURLY04,1190148
SASM870317HPURLY04,1207332
SASM870317HPURLY04,1257228
SASM870317HPURLY04,1273656
SASM870317HPURLY04,1258368
ESAP810021HDFPYL05,
ESAP810021HDFPYL05,506688
ESAP810021HDFPYL05,105560
ESAP810021HDFPYL05,506688
ESAP810021HDFPYL05,506688
ESAP810021HDFPYL05,506688
ESAP810021HDFPYL05,506688
ESAP810021HDFPYL05,
BUEA880710HSNSPN06,
SASM870317HPURLY04,
BUEA880710HSNSPN06,4853688
BUEA880710HSNSPN06,1862080
BUEA880710HSNSPN06,4732068
BUEA880710HSNSPN06,4777440
BUEA880710HSNSPN06,4696224
BUEA880710HSNSPN06,5988564
ROXF891005MSNDNR08,
BUEA880710HSNSPN06,
ROXF891005MSNDNR08,1658496
ROXF891005MSNDNR08,352325
ROXF891005MSNDNR08,1649136
DEVE790101MAGLLL08,
ROXF891005MSNDNR08,1668276
ROXF891005MSNDNR08,1637940
ROXF891005MSNDNR08,
DEVE790101MAGLLL08,608904
DEVE790101MAGLLL08,126855
DEVE790101MAGLLL08,608904
DEVE790101MAGLLL08,608904
ROXF891005MSNDNR08,1513896
DEVE790101MAGLLL08,608904
DEVE790101MAGLLL08,
ARAM790216HVZGVN08,
ARAM790216HVZGVN08,351580
DEVE790101MAGLLL08,608904
ARAM790216HVZGVN08,1648260
ARAM790216HVZGVN08,1665936
ARAM790216HVZGVN08,1582068
ARAM790216HVZGVN08,1612656
ARAM790216HVZGVN08,1564860
ESCR800623HPUCPC08,360435
ESCR800623HPUCPC08,
ESCR800623HPUCPC08,1227228
ARAM790216HVZGVN08,
ESCR800623HPUCPC08,1150500
ESCR800623HPUCPC08,1291152
ANGA860105HSNGLF01,
ESCR800623HPUCPC08,1237092
ANGA860105HSNGLF01,600000
ANGA860105HSNGLF01,125000
ESCR800623HPUCPC08,
ANGA860105HSNGLF01,600000
ANGA860105HSNGLF01,600000
ESCR800623HPUCPC08,1306380
ANGA860105HSNGLF01,
ALHY790326HDFMRL04,160000
ANGA860105HSNGLF01,600000
ANGA860105HSNGLF01,600000
ALHY790326HDFMRL04,
ALHY790326HDFMRL04,768000
ALHY790326HDFMRL04,768000
ALHY790326HDFMRL04,768000
ALHY790326HDFMRL04,768000
ALHY790326HDFMRL04,768000
PRCJ780801HDFRLN03,272200
PRCJ780801HDFRLN03,
PRCJ780801HDFRLN03,1309068
PRCJ780801HDFRLN03,1226352
ALHY790326HDFMRL04,
PRCJ780801HDFRLN03,1248432
PRCJ780801HDFRLN03,1314984
PRCJ780801HDFRLN03,1315908
RIUM860817MSNJLR05,1753975
RIUM860817MSNJLR05,4658388
PRCJ780801HDFRLN03,
RIUM860817MSNJLR05,
RIUM860817MSNJLR05,5143680
RIUM860817MSNJLR05,5681004
TRZJ840623HPURMM02,
RIUM860817MSNJLR05,6046620
TRZJ840623HPURMM02,1615236
TRZJ840623HPURMM02,337540
RIUM860817MSNJLR05,4735752
TRZJ840623HPURMM02,1584120
TRZJ840623HPURMM02,1706748
RIUM860817MSNJLR05,
TRZJ840623HPURMM02,1632468
TRZJ840623HPURMM02,
FLDG780720MVZLRL05,
FLDG780720MVZLRL05,319845
FLDG780720MVZLRL05,1335396
TRZJ840623HPURMM02,1596924
FLDG780720MVZLRL05,1228260
FLDG780720MVZLRL05,1343952
FLDG780720MVZLRL05,1298172
FLDG780720MVZLRL05,
FLDG780720MVZLRL05,1255416
MÁMG851014MDFRTD07,
MÁMG851014MDFRTD07,1695015
MÁMG851014MDFRTD07,6668004
MÁMG851014MDFRTD07,7744764
MÁMG851014MDFRTD07,6515892
MÁMG851014MDFRTD07,6444612
SÁGJ781110HPUNDS07,
MÁMG851014MDFRTD07,
SÁGJ781110HPUNDS07,410690
MÁMG851014MDFRTD07,6205560
SÁGJ781110HPUNDS07,1507488
SÁGJ781110HPUNDS07,1666296
SÁGJ781110HPUNDS07,1742520
SÁGJ781110HPUNDS07,1616220
SÁGJ781110HPUNDS07,1784628
KARG820927MSNNYB08,105560
KARG820927MSNNYB08,
KARG820927MSNNYB08,506688
KARG820927MSNNYB08,506688
KARG820927MSNNYB08,506688
SÁGJ781110HPUNDS07,
KARG820927MSNNYB08,506688
MOMV831007MAGYLL09,
MOMV831007MAGYLL09,600000
MOMV831007MAGYLL09,125000
KARG820927MSNNYB08,506688
MOMV831007MAGYLL09,600000
MOMV831007MAGYLL09,600000
KARG820927MSNNYB08,
MOMV831007MAGYLL09,600000
MOMV831007MAGYLL09,600000
MOMV831007MAGYLL09,
DUFE800023HSNRLC05,2354005
DUFE800023HSNRLC05,5622312
DUFE800023HSNRLC05,6149100
DUFE800023HSNRLC05,6237708
DUFE800023HSNRLC05,
DUFE800023HSNRLC05,6283272
DUFE800023HSNRLC05,5121636
BAAN791126HPUTRT09,
DUFE800023HSNRLC05,
BAAN791126HPUTRT09,5754684
BAAN791126HPUTRT09,1767815
BAAN791126HPUTRT09,6253152
BAAN791126HPUTRT09,5660580
BAAN791126HPUTRT09,4890804
GUCL850421MPULRZ07,1268385
BAAN791126HPUTRT09,6708636
BAAN791126HPUTRT09,
GUCL850421MPULRZ07,
GUCL850421MPULRZ07,5365908
GUCL850421MPULRZ07,4964160
GUCL850421MPULRZ07,4318248
GUCL850421MPULRZ07,4953516
GUCL850421MPULRZ07,
ZAOL710414MVZMHR03,
ZAOL710414MVZMHR03,1210404
PEAI880706HVZDNC04,
GUCL850421MPULRZ07,5198388
ZAOL710414MVZMHR03,296785
ZAOL710414MVZMHR03,1293816
ZAOL710414MVZMHR03,1241580
ZAOL710414MVZMHR03,1282692
ZAOL710414MVZMHR03,1235952
PEAI880706HVZDNC04,160000
PEAI880706HVZDNC04,768000
ZAOL710414MVZMHR03,
PEAI880706HVZDNC04,768000
PEAI880706HVZDNC04,768000
PEAI880706HVZDNC04,768000
PEAI880706HVZDNC04,768000
RALE780211MSNZLS08,
RALE780211MSNZLS08,160000
PEAI880706HVZDNC04,
RALE780211MSNZLS08,768000
RALE780211MSNZLS08,768000
RALE780211MSNZLS08,768000
RALE780211MSNZLS08,768000
RALE780211MSNZLS08,768000
RALE780211MSNZLS08,
CACR781005MDFNLM01,
CACR781005MDFNLM01,1592560
CACR781005MDFNLM01,4405524
CACR781005MDFNLM01,4335036
CACR781005MDFNLM01,4938384
AYCS800816HDFLSR02,
CACR781005MDFNLM01,6015840
AYCS800816HDFLSR02,1425810
CACR781005MDFNLM01,
CACR781005MDFNLM01,5427888
AYCS800816HDFLSR02,4567608
AYCS800816HDFLSR02,5146848
AYCS800816HDFLSR02,5023368
CAVL801102HAGRGR08,105560
CAVL801102HAGRGR08,
AYCS800816HDFLSR02,
AYCS800816HDFLSR02,4394676
AYCS800816HDFLSR02,5172312
CAVL801102HAGRGR08,506688
CAVL801102HAGRGR08,506688
CAVL801102HAGRGR08,506688
CAVL801102HAGRGR08,506688
ROFE881127HSNCNN01,352330
CAVL801102HAGRGR08,506688
ROFE881127HSNCNN01,
ROFE881127HSNCNN01,1695504
CAVL801102HAGRGR08,
ROFE881127HSNCNN01,1611384
ROFE881127HSNCNN01,1618500
ROFE881127HSNCNN01,1720956
ROFE881127HSNCNN01,1506588
